"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","standard_cost"
8710,0,629,2017-08-23,false,Approved,312.74
8711,76,565,2017-03-16,false,Approved,513.85
8712,2,2194,2017-05-20,true,Approved,53.62
8713,97,1877,2017-10-11,false,Approved,667.40
8714,2,2768,2017-12-07,false,Approved,53.62
8715,6,684,2017-09-26,false,Approved,136.73
8716,30,324,2017-01-06,true,Approved,448.90
8717,3,972,2017-03-14,true,Approved,388.92
8718,94,444,2017-10-17,true,Approved,993.66
8719,13,957,2017-08-29,true,Approved,589.27
8720,90,2017,2017-05-17,true,Approved,290.41
8721,79,1888,2017-06-14,true,Approved,818.01
8722,45,3317,2017-03-16,true,Approved,84.99
8723,66,3344,2017-11-27,false,Approved,525.33
8724,26,607,2017-01-12,true,Approved,762.63
8725,8,2641,2017-06-19,true,Approved,1516.13
8726,22,1794,2017-05-02,true,Approved,45.26
8727,54,1982,2017-11-10,true,Approved,778.69
8728,44,2598,2017-06-11,false,Approved,108.76
8729,97,1141,2017-08-19,true,Approved,667.40
8730,35,3023,2017-08-20,true,Approved,954.82
8731,26,224,2017-04-26,true,Cancelled,762.63
8732,91,1358,2017-04-16,true,Approved,513.85
8733,51,2300,2017-11-22,true,Approved,1203.40
8734,92,3485,2017-12-05,true,Approved,260.14
8735,25,32,2017-08-14,false,Approved,829.65
8736,0,613,2017-10-31,false,Approved,136.73
8737,74,1086,2017-10-16,false,Approved,400.91
8738,34,396,2017-01-19,true,Approved,161.60
8739,74,3486,2017-06-24,false,Approved,400.91
8740,23,3122,2017-08-09,false,Approved,381.10
8741,73,2555,2017-05-27,true,Approved,333.18
8742,0,710,2017-10-22,false,Approved,7.21
8743,95,3147,2017-07-11,true,Approved,528.43
8744,0,1894,2017-11-24,false,Approved,53.62
8745,19,349,2017-01-17,false,Approved,459.71
8746,19,2468,2017-08-21,false,Approved,459.71
8747,0,608,2017-08-20,true,Approved,173.18
8748,60,2921,2017-06-30,true,Approved,1759.85
8749,35,1063,2017-06-10,true,Approved,154.40
8750,41,1075,2017-10-24,true,Approved,748.90
8751,30,2568,2017-10-19,false,Approved,448.90
8752,62,2428,2017-11-01,true,Approved,298.72
