"product_id","brand","product_line","product_class","product_size","list_price"
2,Solex,Standard,medium,medium,71.49
3,Trek Bicycles,Standard,medium,large,2091.47
37,OHM Cycles,Standard,low,medium,1793.43
88,Norco Bicycles,Standard,medium,medium,1198.46
78,Giant Bicycles,Standard,medium,large,1765.30
25,Giant Bicycles,Road,medium,medium,1538.99
22,WeareA2B,Standard,medium,medium,60.34
15,WeareA2B,Standard,medium,medium,1292.84
67,Solex,Standard,medium,large,1071.23
12,WeareA2B,Standard,medium,medium,1231.15
5,Trek Bicycles,Mountain,low,medium,574.64
61,OHM Cycles,Standard,low,medium,71.16
35,Trek Bicycles,Standard,low,medium,1057.51
16,Norco Bicycles,Standard,high,small,1661.92
79,Norco Bicycles,Standard,medium,medium,1555.58
33,Giant Bicycles,Standard,medium,small,1311.44
54,WeareA2B,Standard,medium,medium,1292.84
27,Trek Bicycles,Standard,medium,medium,499.53
82,Giant Bicycles,Road,medium,medium,1538.99
89,WeareA2B,Touring,medium,large,1362.99
64,Trek Bicycles,Standard,medium,large,1469.44
19,Trek Bicycles,Mountain,low,medium,574.64
72,Norco Bicycles,Standard,medium,medium,360.40
91,WeareA2B,Standard,low,medium,642.31
1,Giant Bicycles,Standard,medium,medium,1403.50
99,Trek Bicycles,Road,low,small,1720.70
0,Norco Bicycles,Road,medium,medium,544.05
92,WeareA2B,Standard,medium,small,1415.01
14,Solex,Standard,high,large,1842.92
44,WeareA2B,Standard,medium,medium,1769.64
76,WeareA2B,Standard,low,medium,642.31
46,Solex,Standard,low,medium,1289.85
55,Trek Bicycles,Road,medium,large,1894.19
66,Solex,Standard,medium,medium,1163.89
81,Solex,Standard,medium,medium,1151.96
86,OHM Cycles,Standard,medium,medium,235.63
32,Giant Bicycles,Standard,medium,medium,642.70
77,Norco Bicycles,Road,medium,large,1240.31
96,Giant Bicycles,Standard,medium,large,1635.30
6,OHM Cycles,Standard,high,medium,227.88
47,Trek Bicycles,Road,low,small,1720.70
94,Giant Bicycles,Standard,medium,large,1635.30
93,OHM Cycles,Standard,high,medium,1458.17
60,Giant Bicycles,Standard,high,small,1977.36
28,Norco Bicycles,Standard,medium,small,1216.14
4,Giant Bicycles,Standard,high,medium,1129.13
38,Trek Bicycles,Standard,medium,large,2091.47
56,OHM Cycles,Standard,medium,medium,183.86
58,OHM Cycles,Standard,medium,medium,912.52
50,WeareA2B,Standard,medium,small,175.89
80,OHM Cycles,Touring,low,medium,1073.07
87,Giant Bicycles,Standard,high,medium,1179.00
84,Giant Bicycles,Road,medium,medium,792.90
21,Solex,Standard,medium,large,1071.23
31,WeareA2B,Standard,medium,medium,752.64
62,Solex,Standard,medium,medium,478.16
17,Solex,Standard,high,medium,1024.66
73,Solex,Standard,medium,medium,1945.43
45,Solex,Standard,medium,medium,441.49
49,Trek Bicycles,Road,medium,medium,533.51
95,Giant Bicycles,Standard,medium,large,569.56
18,Norco Bicycles,Standard,high,medium,1148.64
70,Trek Bicycles,Standard,high,medium,495.72
26,WeareA2B,Standard,medium,medium,1992.93
39,Giant Bicycles,Standard,medium,large,1812.75
36,Solex,Standard,low,medium,945.04
98,Trek Bicycles,Standard,high,medium,358.39
75,Giant Bicycles,Touring,medium,large,1873.97
42,OHM Cycles,Road,medium,small,1810.00
20,Trek Bicycles,Standard,medium,small,1775.81
24,Solex,Road,medium,large,1777.80
53,OHM Cycles,Standard,medium,medium,795.34
65,WeareA2B,Standard,medium,medium,1807.45
29,WeareA2B,Standard,medium,medium,1065.03
11,Giant Bicycles,Standard,high,medium,1274.93
10,Solex,Standard,medium,medium,1945.43
7,Trek Bicycles,Road,low,medium,980.37
41,Solex,Road,medium,medium,416.98
9,OHM Cycles,Road,medium,medium,742.54
69,Giant Bicycles,Road,medium,medium,792.90
90,Norco Bicycles,Standard,low,medium,363.01
97,Solex,Standard,medium,large,202.62
100,Norco Bicycles,Road,medium,medium,1036.59
74,WeareA2B,Standard,medium,medium,1228.07
71,Solex,Standard,high,large,1842.92
34,Norco Bicycles,Road,high,large,774.53
57,WeareA2B,Touring,medium,large,1890.39
23,Norco Bicycles,Mountain,low,small,688.63
51,OHM Cycles,Standard,high,medium,2005.66
59,WeareA2B,Standard,medium,small,1415.01
63,Solex,Standard,medium,medium,1483.20
40,OHM Cycles,Standard,high,medium,1458.17
8,Solex,Road,medium,small,1703.52
13,Solex,Standard,medium,medium,1163.89
30,Solex,Standard,high,medium,748.17
48,WeareA2B,Standard,medium,medium,1762.96
68,OHM Cycles,Standard,medium,medium,1636.90
83,Solex,Touring,medium,large,2083.94
43,Solex,Standard,medium,medium,1151.96
52,OHM Cycles,Road,medium,medium,1280.28
85,WeareA2B,Standard,medium,medium,752.64
